               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.039183,            0.031417,           0.0043667,             0.77125,             0.68154,             0.74384,             0.53096,             0.03398,            0.019307,           0.0023294,           0.0073155,           0.0073155,           0.0073155
                 120,            0.039191,            0.031518,           0.0043484,             0.76743,             0.68551,             0.74475,             0.53167,             0.03395,            0.019286,           0.0023194,           0.0072758,           0.0072758,           0.0072758
                 121,            0.039224,             0.03146,            0.004359,             0.77636,             0.68049,             0.74555,             0.53259,            0.033921,            0.019264,           0.0023101,           0.0072361,           0.0072361,           0.0072361
                 122,            0.039113,             0.03146,           0.0043186,             0.76959,             0.68602,             0.74634,             0.53332,            0.033891,            0.019244,           0.0023004,           0.0071962,           0.0071962,           0.0071962
                 123,            0.039116,            0.031508,           0.0042989,             0.77039,             0.68663,             0.74688,             0.53405,            0.033862,            0.019227,           0.0022914,           0.0071561,           0.0071561,           0.0071561
                 124,             0.03907,            0.031505,           0.0043345,             0.77682,              0.6835,             0.74766,             0.53478,            0.033832,            0.019206,           0.0022812,            0.007116,            0.007116,            0.007116
                 125,            0.039036,            0.031503,           0.0042632,             0.77697,             0.68419,              0.7486,             0.53553,            0.033802,            0.019185,           0.0022709,           0.0070757,           0.0070757,           0.0070757
                 126,             0.03908,            0.031463,           0.0043248,             0.77354,             0.68729,              0.7492,             0.53638,            0.033773,            0.019167,           0.0022615,           0.0070353,           0.0070353,           0.0070353
                 127,            0.038957,            0.031352,           0.0042907,             0.78155,             0.68297,             0.75018,             0.53705,            0.033743,            0.019147,           0.0022509,           0.0069948,           0.0069948,           0.0069948
                 128,            0.038978,            0.031293,           0.0042873,             0.77529,             0.68887,             0.75101,             0.53769,            0.033716,            0.019128,           0.0022414,           0.0069541,           0.0069541,           0.0069541
                 129,            0.038914,            0.031395,           0.0042164,             0.77734,             0.68826,             0.75164,             0.53839,            0.033687,            0.019108,           0.0022317,           0.0069134,           0.0069134,           0.0069134
                 130,            0.038922,             0.03139,           0.0042243,             0.78515,             0.68368,             0.75228,             0.53925,            0.033658,            0.019087,           0.0022208,           0.0068726,           0.0068726,           0.0068726
                 131,            0.038899,            0.031278,           0.0042811,              0.7781,             0.68953,             0.75312,             0.53994,             0.03363,            0.019069,           0.0022114,           0.0068316,           0.0068316,           0.0068316
                 132,            0.038827,            0.031333,           0.0042167,             0.78039,             0.68932,             0.75396,             0.54059,            0.033603,            0.019049,           0.0022009,           0.0067906,           0.0067906,           0.0067906
                 133,            0.038816,            0.031239,           0.0041756,             0.77708,             0.69257,             0.75489,             0.54149,            0.033574,            0.019026,           0.0021894,           0.0067495,           0.0067495,           0.0067495
                 134,            0.038829,            0.031193,           0.0041437,             0.77995,             0.69149,             0.75591,              0.5423,            0.033546,            0.019006,           0.0021778,           0.0067083,           0.0067083,           0.0067083
                 135,            0.038716,            0.031111,           0.0042041,             0.78539,             0.68902,             0.75664,             0.54318,            0.033518,            0.018987,           0.0021676,           0.0066671,           0.0066671,           0.0066671
                 136,            0.038703,            0.031251,           0.0041979,             0.78408,             0.69082,             0.75737,              0.5439,            0.033491,            0.018967,           0.0021584,           0.0066257,           0.0066257,           0.0066257
                 137,            0.038781,            0.031187,           0.0041484,             0.77622,             0.69739,             0.75844,             0.54465,            0.033463,            0.018948,           0.0021482,           0.0065843,           0.0065843,           0.0065843
                 138,            0.038678,            0.031248,           0.0042339,             0.77636,             0.69804,             0.75904,              0.5454,            0.033436,            0.018928,           0.0021384,           0.0065429,           0.0065429,           0.0065429
                 139,            0.038712,            0.031321,           0.0041772,             0.78156,             0.69575,             0.76003,               0.546,            0.033409,            0.018908,           0.0021286,           0.0065013,           0.0065013,           0.0065013
                 140,            0.038603,             0.03121,           0.0041289,             0.78544,               0.694,             0.76078,             0.54678,            0.033382,            0.018888,           0.0021182,           0.0064597,           0.0064597,           0.0064597
                 141,            0.038591,            0.031055,           0.0041542,             0.79158,             0.69099,             0.76154,             0.54748,            0.033355,             0.01887,           0.0021087,           0.0064181,           0.0064181,           0.0064181
                 142,            0.038583,            0.031092,            0.004096,             0.78985,             0.69369,             0.76253,              0.5483,            0.033327,            0.018851,           0.0020993,           0.0063764,           0.0063764,           0.0063764
                 143,             0.03856,            0.031253,           0.0041206,             0.77721,             0.70375,             0.76348,             0.54914,              0.0333,             0.01883,           0.0020901,           0.0063347,           0.0063347,           0.0063347
                 144,            0.038526,            0.031177,           0.0041594,             0.77406,             0.70726,             0.76442,             0.54991,            0.033273,            0.018812,           0.0020811,            0.006293,            0.006293,            0.006293
                 145,            0.038503,            0.031118,           0.0040998,              0.7729,             0.70881,             0.76512,             0.55081,            0.033246,            0.018794,           0.0020713,           0.0062512,           0.0062512,           0.0062512
                 146,            0.038405,            0.031006,           0.0040796,             0.78165,             0.70354,               0.766,             0.55171,            0.033219,            0.018775,           0.0020619,           0.0062093,           0.0062093,           0.0062093
                 147,            0.038361,            0.030916,            0.004074,             0.79035,             0.69857,             0.76676,             0.55234,            0.033194,            0.018757,           0.0020521,           0.0061675,           0.0061675,           0.0061675
                 148,            0.038365,            0.031007,             0.00404,             0.79083,             0.69937,             0.76748,             0.55321,            0.033165,            0.018739,           0.0020426,           0.0061256,           0.0061256,           0.0061256
                 149,            0.038304,            0.030922,           0.0040372,             0.78128,             0.70707,             0.76823,             0.55371,            0.033137,            0.018721,            0.002033,           0.0060838,           0.0060838,           0.0060838
                 150,            0.038318,            0.030841,            0.003955,             0.77869,             0.71024,             0.76889,             0.55429,            0.033111,            0.018704,           0.0020243,           0.0060419,           0.0060419,           0.0060419
                 151,            0.038331,            0.031038,           0.0040701,             0.78109,             0.70976,             0.76952,             0.55506,            0.033084,            0.018687,           0.0020156,               0.006,               0.006,               0.006
                 152,            0.038225,            0.030882,           0.0039939,             0.78254,             0.70973,             0.77039,             0.55582,             0.03306,            0.018669,            0.002007,           0.0059581,           0.0059581,           0.0059581
                 153,            0.038266,            0.031011,           0.0040261,             0.78441,             0.70916,             0.77129,             0.55659,            0.033034,             0.01865,           0.0019965,           0.0059162,           0.0059162,           0.0059162
                 154,            0.038223,            0.030862,            0.003981,             0.79767,             0.70126,             0.77199,             0.55735,            0.033008,            0.018631,           0.0019867,           0.0058744,           0.0058744,           0.0058744
                 155,            0.038124,            0.030865,           0.0039834,             0.79463,             0.70479,             0.77283,             0.55807,            0.032982,            0.018612,           0.0019766,           0.0058325,           0.0058325,           0.0058325
